w/wo exo r,w/wo exo p,homo exo r,homo exo p,homo torso r,homo torso p
-0.11891260167387144,0.5799747443255567,0.7211355564225423,7.008616985141544e-05,0.8201133752257073,9.323041322715726e-07
0.35036529363041247,0.09325154908610361,0.9948620831445878,2.215871591774994e-23,0.6549369417099906,0.0005146092839453818
0.2918755704604945,0.1663851485828549,0.9994279297090033,7.377847719796781e-34,0.776161093798984,8.282653520969331e-06
0.49203421461678104,0.014595745175622343,0.999721987800395,2.637996260213316e-37,0.7083528494883208,0.00010735337929945332
0.3530078240217868,0.09064027430131705,0.9873158714831919,4.442988772772916e-19,0.7910560962164837,4.1864915376577945e-06
0.48021743527242644,0.017547926949053272,0.9754826420604372,5.919360583153401e-16,0.7508394456564405,2.3666562242201547e-05
0.3303591750328222,0.11487276560855281,0.9849879724813324,2.8053024360120268e-18,0.8163785760092042,1.147281853248869e-06
0.48707373438421525,0.015781123836365575,0.9852440407511003,2.3243510585512133e-18,0.7863466187249278,5.224363405437291e-06
0.34632631837365213,0.09735060593994274,0.9543612448432501,4.989435976165717e-13,0.8460067866597375,1.9167731624034233e-07
0.4476066050260181,0.02828820276221588,0.9902765395808402,2.4196878331757184e-20,0.7990070693942103,2.843458743664662e-06
0.21482523118720553,0.3134185283780535,0.9829547181865125,1.1238739501460511e-17,0.9935378613937826,2.7439948407100985e-22
0.4593703458221876,0.023932048601760694,0.9834528824865674,8.12860885620827e-18,0.980455191848196,5.004980319487132e-17
0.23401086084358758,0.2710774632842166,,,,
0.4548070972284635,0.02555265080875039,,,,
0.2608890326639158,0.21820236138084081,,,,
0.47898479106859276,0.017882021105310134,,,,
0.25967624484765106,0.22042741554507111,,,,
0.46468014587635026,0.022151662573535923,,,,
0.3175734436117472,0.13048516474844785,,,,
0.4609890976088776,0.02337747667079592,,,,
0.24750357242214838,0.2435985527331119,,,,
0.42270941194477957,0.03959972124023159,,,,
0.28062769261137294,0.1840874381376535,,,,
0.4454134091297873,0.029166446549396867,,,,
