w/wo exo r,w/wo exo p,homo exo r,homo exo p,homo torso r,homo torso p
-0.01687056519801949,0.937635755932701,0.8113089141347127,1.5094551114647954e-06,0.264129149542906,0.21233163531054078
0.024768181772515975,0.9085414011950914,0.7598771620096517,1.650818466257996e-05,0.28646546788436755,0.17474481267670888
0.13806971317144456,0.5199744601449979,0.8684314056736282,3.786665461036531e-08,0.9849464219439891,2.8913502323812684e-18
0.4353454620818782,0.033481798045612444,0.9498792160130851,1.369202770337823e-12,0.9837617807457282,6.616251395868569e-18
0.2123576591612148,0.3191424648461482,0.9870854657906117,5.410199783371679e-19,0.987465315402379,3.9026072821162145e-19
0.25530312803917343,0.2285759647876238,0.9815211289443234,2.714100000971513e-17,0.9971527989241646,3.388861860236518e-26
0.3788880333088842,0.06787489374175322,0.9963237350106461,5.61405479453316e-25,0.9973593626078091,1.4813662485980444e-26
0.5133697860372002,0.01029703781403169,0.9533946639589274,6.254737084415881e-13,0.9811177181842258,3.435467168084267e-17
0.5820089159980806,0.002848744501197486,0.9859018738005939,1.4117335027625622e-18,0.9949309841517169,1.9106642912458692e-23
0.6286790766039864,0.0010007505158053775,0.996025243431936,1.3231909393030263e-24,0.9905555731929128,1.758811742385619e-20
0.6642675120640226,0.00040012384865799984,0.9664694858605772,1.7772143273520986e-14,0.987012234950025,5.755448377433003e-19
0.6364818107458877,0.0008264745389103382,0.9956199336273973,3.843138249478152e-24,0.9959882275399035,1.4649811565427306e-24
0.6102370772563641,0.0015424805701876201,,,,
0.6022808853441806,0.0018441477485439351,,,,
0.5820529184596478,0.0028461426278013815,,,,
0.5360201513022058,0.006937031593334445,,,,
0.4874974403972151,0.01567689643632603,,,,
0.45850721874013817,0.024232053760021306,,,,
0.4416407985059484,0.03072805214929994,,,,
0.41840717256493865,0.04187284958910364,,,,
0.4144546850901679,0.04405047964719987,,,,
0.3982350796942458,0.05393169856821432,,,,
0.3823771967584831,0.06517582207131792,,,,
0.37656656429164753,0.06971747009460205,,,,
