w/wo exo r,w/wo exo p,homo exo r,homo exo p,homo torso r,homo torso p
0.22617003635275984,0.28791766729793555,0.42132733410010675,0.04031907958490584,0.496081827686435,0.013683447740456673
0.047863357519844316,0.8242430419216016,0.934450168438009,2.4381864730287003e-11,0.3925816078234596,0.057752899198952885
0.10271755526662409,0.6329245165237085,0.9832950610165638,9.016703523749452e-18,0.8234319280712562,7.72238153864234e-07
0.20728230985681745,0.3311140086877923,0.9735006164978475,1.3793326845697353e-15,0.9928492087467007,8.332295102562014e-22
0.223479599566361,0.2938439038882712,0.9807633309001758,4.208273579010139e-17,0.9929232717475508,7.433188112886254e-22
0.3884230428092627,0.060694716419041554,0.9971847651133253,2.993498433472199e-26,0.9577264842615889,2.1825237580242082e-13
0.2976780294060918,0.1577343834156476,0.9996399650498549,4.5310595642696884e-36,0.9906685464228838,1.5415434919688865e-20
0.3280482633926034,0.11758811541404464,0.9992475592556692,1.5025279670791947e-32,0.9876038414136538,3.455754767202208e-19
0.4174450173011194,0.04239498299919457,0.9971306146499936,3.6905217279053846e-26,0.9967996006290376,1.2246058087059536e-25
0.36877296733981,0.0761833453388458,0.9785806056009745,1.3588497268471217e-16,0.998367592211712,7.498768902355713e-29
0.3803698312518837,0.06671838986254838,0.9821102436959693,1.905577408731041e-17,0.9956237336350027,3.806687312767779e-24
0.4014608108379914,0.05184106178792751,0.9836862977068653,6.960110563291835e-18,0.9890428531855164,8.952321082806775e-20
0.41519575446128293,0.04363556249514393,,,,
0.40973989546273837,0.04676321269675447,,,,
0.4418928889910393,0.030621666977430594,,,,
0.4717703089115142,0.019942779430881914,,,,
0.49864340851417127,0.01313065895864336,,,,
0.5162574192545701,0.009805608979542694,,,,
0.5351183888842097,0.007050589202966562,,,,
0.5211869737951793,0.009011582424028618,,,,
0.4800059219661622,0.017604891042413126,,,,
0.45960638696928174,0.023850528900239733,,,,
0.437460041562811,0.03253578018462597,,,,
0.3922712621278304,0.05796856190389709,,,,
